what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1345326808940
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1345326809611
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.format.document",1345326816788
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1345326817537
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345326818317
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345326819830
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345326822404
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345326828804
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1345326831169
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1345326840790
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1345326841282
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1345326841330
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345326850385
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345326853023
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1345326856215
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1345326856245
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1345326857078
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345326862542
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345326871691
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1345326877068
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1345326877957
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1345326882764
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1345326898332
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1345326902854
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345326904164
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345326905568
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1345326905584
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345326908766
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345326910685
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345326911684
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345326913649
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1345326917939
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1345326922432
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1345326927393
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345326928875
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345326932088
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1345326932104
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345326932900
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345326952546
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1345326955104
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345326955385
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345326955447
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1345326962483
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1345326967459
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345326968395
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345326971129
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1345326971954
started,bundle,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms",1345326973224
activated,view,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.pde.runtime.LogView",1345326977154
started,bundle,com.android.ide.eclipse.traceview,18.0.0.v201203301601-306762,"com.android.ide.eclipse.traceview",1345326978540
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345326978890
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345327034779
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.SourceView",1345327036393
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.SourceView",1345327036414
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1345327036846
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345327039312
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345327040427
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345327055707
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345327074102
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345327084241
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345327165370
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345327166995
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345327169337
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345327170822
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345327233558
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345327234813
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345332644305
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345332645071
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345332646556
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345332647763
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345332649841
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345332650292
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1345332651963
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1345332652000
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1345332652008
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1345332652017
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1345332652024
stopped,bundle,org.eclipse.m2e.jdt,1.0.200.20111228-1245,"org.eclipse.m2e.jdt",1345332652037
stopped,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1345332652038
stopped,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1345332652038
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,18.0.0.v201203301601-306762,"overlay.com.android.ide.eclipse.adt.overlay",1345332652046
stopped,bundle,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.adt",1345332652046
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1345332652059
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1345332652070
stopped,bundle,org.eclipse.help.webapp,3.6.1.r37_20110929,"org.eclipse.help.webapp",1345332652081
