what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343625000156
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343625005999
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343625013085
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343625023760
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343625025006
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343625122204
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343625122887
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343625125333
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343625128854
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1343625132277
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343625135406
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343625136562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343625139240
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343625216056
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343625219967
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343625222492
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343625228169
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343625247268
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1343625247288
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343625251021
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343625251152
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343625251175
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343625253135
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343625255284
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343625256423
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1343625256431
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343625257606
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343625262868
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343625270631
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343625271230
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343625276501
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343625286537
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343625288488
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1343625293311
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1343625293483
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343625295452
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343625298696
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343625298784
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1343625301766
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343625303102
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1343625304358
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343625305246
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343625310849
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343625316268
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343625332177
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343625333793
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343625341278
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343625349710
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343625350284
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343625353883
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343625356587
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343625357921
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343625359055
